date,value
2022-01-03,504.18
2022-01-10,485.75
2022-01-17,493.25
2022-01-24,491.70
2022-01-31,507.09
2022-02-07,505.30
2022-02-14,511.77
2022-02-21,487.61
2022-02-28,497.66
2022-03-07,485.89
2022-03-14,491.56
2022-03-21,500.16
2022-03-28,485.80
2022-04-04,490.97
2022-04-11,504.50
2022-04-18,501.35
2022-04-25,491.61
2022-05-02,502.68
2022-05-09,509.28
2022-05-16,485.19
2022-05-23,509.17
2022-05-30,505.94
2022-06-06,495.21
2022-06-13,489.66
2022-06-20,513.72
2022-06-27,495.10
2022-07-04,487.78
2022-07-11,487.90
2022-07-18,510.42
2022-07-25,503.11
2022-08-01,509.21
2022-08-08,506.89
2022-08-15,501.09
2022-08-22,514.19
2022-08-29,496.36
2022-09-05,501.56
2022-09-12,509.88
2022-09-19,503.56
2022-09-26,510.85
2022-10-03,502.32
2022-10-10,506.14
2022-10-17,486.37
2022-10-24,491.84
2022-10-31,493.68
2022-11-07,487.39
2022-11-14,740.65
2022-11-21,734.84
2022-11-28,739.83
2022-12-05,751.15
2022-12-12,740.47
2022-12-19,739.46
2022-12-26,732.63
2023-01-02,733.44
2023-01-09,755.68
2023-01-16,744.38
2023-01-23,741.82
2023-01-30,725.29
2023-02-06,743.62
2023-02-13,722.62
2023-02-20,728.98
2023-02-27,749.13
2023-03-06,735.70
2023-03-13,731.59
2023-03-20,734.86
2023-03-27,739.20
2023-04-03,735.66
2023-04-10,715.32
2023-04-17,707.22
2023-04-24,715.94
2023-05-01,713.07
2023-05-08,709.88
2023-05-15,734.30
2023-05-22,730.77
2023-05-29,709.91
2023-06-05,720.64
2023-06-12,710.35
2023-06-19,727.31
2023-06-26,710.16
2023-07-03,702.17
2023-07-10,700.33
2023-07-17,710.15
2023-07-24,698.50
2023-07-31,708.56
2023-08-07,718.32
2023-08-14,699.68
2023-08-21,692.18
2023-08-28,718.21
2023-09-04,699.93
2023-09-11,684.08
2023-09-18,681.35
2023-09-25,326.58
2023-10-02,357.65
2023-10-09,367.52
2023-10-16,345.33
2023-10-23,323.81
2023-10-30,342.90
2023-11-06,379.77
2023-11-13,351.75
2023-11-20,378.26
2023-11-27,371.65
2023-12-04,320.69
2023-12-11,363.24
2023-12-18,360.90
2023-12-25,352.22
2024-01-01,336.01
2024-01-08,358.46
2024-01-15,326.69
2024-01-22,346.09
2024-01-29,347.22
2024-02-05,377.23
2024-02-12,372.55
2024-02-19,335.80
2024-02-26,350.04
2024-03-04,330.72
2024-03-11,374.76
2024-03-18,372.23
2024-03-25,337.91
2024-04-01,358.34
2024-04-08,356.54
2024-04-15,329.17
2024-04-22,365.75
2024-04-29,352.36
2024-05-06,366.72
2024-05-13,351.82
2024-05-20,320.03
2024-05-27,339.45
2024-06-03,321.17
2024-06-10,375.75
2024-06-17,372.72
2024-06-24,369.90
2024-07-01,345.19
2024-07-08,347.95
2024-07-15,377.45
2024-07-22,388.17
2024-07-29,375.64
2024-08-05,394.65
2024-08-12,393.23
2024-08-19,419.52
2024-08-26,428.65
2024-09-02,421.71
2024-09-09,439.38
2024-09-16,450.25
2024-09-23,452.13
2024-09-30,476.31
2024-10-07,474.08
2024-10-14,477.79
2024-10-21,494.98
2024-10-28,508.75
2024-11-04,504.53
2024-11-11,516.29
2024-11-18,542.38
2024-11-25,542.75
2024-12-02,546.45
2024-12-09,557.44
2024-12-16,556.53
2024-12-23,568.12
2024-12-30,579.95
2025-01-06,595.21
2025-01-13,595.25
2025-01-20,604.01
