date,value
2005-01-01,8.41
2005-02-01,8.51
2005-03-01,8.44
2005-04-01,8.36
2005-05-01,8.38
2005-06-01,8.33
2005-07-01,8.41
2005-08-01,8.38
2005-09-01,8.28
2005-10-01,8.27
2005-11-01,8.30
2005-12-01,8.24
2006-01-01,8.20
2006-02-01,8.29
2006-03-01,8.26
2006-04-01,8.22
2006-05-01,8.09
2006-06-01,8.14
2006-07-01,8.10
2006-08-01,8.15
2006-09-01,8.15
2006-10-01,7.99
2006-11-01,8.07
2006-12-01,8.00
2007-01-01,7.94
2007-02-01,7.92
2007-03-01,8.02
2007-04-01,8.00
2007-05-01,7.85
2007-06-01,7.89
2007-07-01,7.95
2007-08-01,7.79
2007-09-01,7.87
2007-10-01,7.86
2007-11-01,7.80
2007-12-01,7.77
2008-01-01,7.71
2008-02-01,7.70
2008-03-01,7.78
2008-04-01,7.76
2008-05-01,7.64
2008-06-01,7.62
2008-07-01,7.61
2008-08-01,7.65
2008-09-01,7.54
2008-10-01,7.55
2008-11-01,7.56
2008-12-01,7.51
2009-01-01,7.66
2009-02-01,7.85
2009-03-01,7.98
2009-04-01,8.17
2009-05-01,8.34
2009-06-01,8.44
2009-07-01,8.63
2009-08-01,8.67
2009-09-01,8.94
2009-10-01,9.06
2009-11-01,9.22
2009-12-01,9.27
2010-01-01,9.49
2010-02-01,9.62
2010-03-01,9.72
2010-04-01,9.98
2010-05-01,10.11
2010-06-01,10.27
2010-07-01,10.33
2010-08-01,10.47
2010-09-01,10.67
2010-10-01,10.84
2010-11-01,11.05
2010-12-01,11.12
2011-01-01,11.04
2011-02-01,11.07
2011-03-01,10.99
2011-04-01,11.04
2011-05-01,10.97
2011-06-01,10.89
2011-07-01,10.92
2011-08-01,10.82
2011-09-01,10.73
2011-10-01,10.78
2011-11-01,10.76
2011-12-01,10.65
2012-01-01,10.65
2012-02-01,10.61
2012-03-01,10.58
2012-04-01,10.48
2012-05-01,10.42
2012-06-01,10.39
2012-07-01,10.39
2012-08-01,10.33
2012-09-01,10.29
2012-10-01,10.30
2012-11-01,10.16
2012-12-01,10.15
2013-01-01,10.20
2013-02-01,10.10
2013-03-01,10.10
2013-04-01,10.02
2013-05-01,10.02
2013-06-01,10.01
2013-07-01,9.91
2013-08-01,9.79
2013-09-01,9.76
2013-10-01,9.85
2013-11-01,9.80
2013-12-01,9.64
2014-01-01,9.63
2014-02-01,9.61
2014-03-01,9.49
2014-04-01,9.35
2014-05-01,9.33
2014-06-01,9.17
2014-07-01,9.21
2014-08-01,9.00
2014-09-01,9.05
2014-10-01,8.92
2014-11-01,8.77
2014-12-01,8.70
2015-01-01,8.68
2015-02-01,8.62
2015-03-01,8.56
2015-04-01,8.37
2015-05-01,8.28
2015-06-01,8.24
2015-07-01,8.12
2015-08-01,8.09
2015-09-01,8.06
2015-10-01,7.93
2015-11-01,7.85
2015-12-01,7.75
2016-01-01,7.67
2016-02-01,7.68
2016-03-01,7.55
2016-04-01,7.43
2016-05-01,7.35
2016-06-01,7.24
2016-07-01,7.16
2016-08-01,7.08
2016-09-01,7.11
2016-10-01,6.97
2016-11-01,6.86
2016-12-01,6.89
2017-01-01,6.80
2017-02-01,6.61
2017-03-01,6.63
2017-04-01,6.50
2017-05-01,6.47
2017-06-01,6.34
2017-07-01,6.19
2017-08-01,6.14
2017-09-01,6.14
2017-10-01,5.98
2017-11-01,6.00
2017-12-01,5.90
2018-01-01,5.79
2018-02-01,5.72
2018-03-01,5.67
2018-04-01,5.50
2018-05-01,5.52
2018-06-01,5.50
2018-07-01,5.47
2018-08-01,5.48
2018-09-01,5.47
2018-10-01,5.48
2018-11-01,5.57
2018-12-01,5.51
2019-01-01,5.49
2019-02-01,5.49
2019-03-01,5.52
2019-04-01,5.44
2019-05-01,5.48
2019-06-01,5.50
2019-07-01,5.52
2019-08-01,5.53
2019-09-01,5.54
2019-10-01,5.47
2019-11-01,5.55
2019-12-01,5.54
2020-01-01,7.23
2020-02-01,7.12
2020-03-01,6.99
2020-04-01,6.96
2020-05-01,6.86
2020-06-01,6.70
2020-07-01,6.60
2020-08-01,6.47
2020-09-01,6.33
2020-10-01,6.27
2020-11-01,6.04
2020-12-01,5.99
2021-01-01,5.89
2021-02-01,5.96
2021-03-01,5.90
2021-04-01,5.95
2021-05-01,5.84
2021-06-01,5.84
2021-07-01,5.77
2021-08-01,5.89
2021-09-01,5.76
2021-10-01,5.78
2021-11-01,5.81
2021-12-01,5.80
2022-01-01,5.72
2022-02-01,5.70
2022-03-01,5.63
2022-04-01,5.64
2022-05-01,5.60
2022-06-01,5.66
2022-07-01,5.56
2022-08-01,5.61
2022-09-01,5.55
2022-10-01,5.55
2022-11-01,5.47
2022-12-01,5.54
2023-01-01,5.57
2023-02-01,5.44
2023-03-01,5.43
2023-04-01,5.50
2023-05-01,5.52
2023-06-01,5.43
2023-07-01,5.50
2023-08-01,5.54
2023-09-01,5.56
2023-10-01,5.55
2023-11-01,5.48
2023-12-01,5.55
2024-01-01,5.56
2024-02-01,5.51
2024-03-01,5.53
2024-04-01,5.53
2024-05-01,5.47
2024-06-01,5.47
2024-07-01,5.55
2024-08-01,5.57
2024-09-01,5.48
2024-10-01,5.49
2024-11-01,5.53
2024-12-01,5.56
