date,value
2010-01-01,7.42
2010-02-01,7.48
2010-03-01,7.26
2010-04-01,7.28
2010-05-01,7.44
2010-06-01,7.30
2010-07-01,7.29
2010-08-01,7.46
2010-09-01,7.43
2010-10-01,7.50
2010-11-01,7.53
2010-12-01,7.62
2011-01-01,7.77
2011-02-01,7.75
2011-03-01,7.79
2011-04-01,7.88
2011-05-01,7.69
2011-06-01,8.08
2011-07-01,8.00
2011-08-01,7.99
2011-09-01,8.07
2011-10-01,7.96
2011-11-01,8.13
2011-12-01,7.80
2012-01-01,7.99
2012-02-01,7.70
2012-03-01,7.71
2012-04-01,7.72
2012-05-01,7.82
2012-06-01,7.89
2012-07-01,7.80
2012-08-01,7.47
2012-09-01,7.54
2012-10-01,7.88
2012-11-01,8.00
2012-12-01,7.93
2013-01-01,7.71
2013-02-01,8.11
2013-03-01,8.17
2013-04-01,8.23
2013-05-01,8.29
2013-06-01,8.00
2013-07-01,8.41
2013-08-01,8.10
2013-09-01,7.92
2013-10-01,8.25
2013-11-01,8.10
2013-12-01,8.02
2014-01-01,8.43
2014-02-01,8.26
2014-03-01,7.98
2014-04-01,8.19
2014-05-01,8.12
2014-06-01,8.32
2014-07-01,8.21
2014-08-01,8.42
2014-09-01,8.21
2014-10-01,8.25
2014-11-01,7.95
2014-12-01,8.22
2015-01-01,7.97
2015-02-01,7.76
2015-03-01,8.09
2015-04-01,7.88
2015-05-01,8.03
2015-06-01,7.73
2015-07-01,8.13
2015-08-01,8.21
2015-09-01,8.28
2015-10-01,8.20
2015-11-01,8.28
2015-12-01,7.89
2016-01-01,7.32
2016-02-01,6.98
2016-03-01,6.59
2016-04-01,5.80
2016-05-01,5.48
2016-06-01,5.02
2016-07-01,5.21
2016-08-01,5.58
2016-09-01,5.59
2016-10-01,6.05
2016-11-01,6.26
2016-12-01,6.50
2017-01-01,6.59
2017-02-01,6.98
2017-03-01,7.24
2017-04-01,7.47
2017-05-01,7.84
2017-06-01,7.99
2017-07-01,8.18
2017-08-01,8.44
2017-09-01,8.87
2017-10-01,8.95
2017-11-01,9.15
2017-12-01,9.45
2018-01-01,9.46
2018-02-01,9.42
2018-03-01,9.30
2018-04-01,9.11
2018-05-01,8.86
2018-06-01,8.92
2018-07-01,8.86
2018-08-01,8.82
2018-09-01,8.58
2018-10-01,8.80
2018-11-01,8.65
2018-12-01,8.40
2019-01-01,8.44
2019-02-01,8.25
2019-03-01,8.44
2019-04-01,8.27
2019-05-01,8.07
2019-06-01,7.83
2019-07-01,8.07
2019-08-01,8.00
2019-09-01,7.73
2019-10-01,7.63
2019-11-01,7.72
2019-12-01,7.41
2020-01-01,7.33
2020-02-01,7.52
2020-03-01,7.59
2020-04-01,7.76
2020-05-01,7.85
2020-06-01,7.64
2020-07-01,7.77
2020-08-01,7.51
2020-09-01,7.80
2020-10-01,7.64
2020-11-01,7.78
2020-12-01,7.67
2021-01-01,8.83
2021-02-01,10.09
2021-03-01,11.23
2021-04-01,12.33
2021-05-01,13.69
2021-06-01,15.06
2021-07-01,15.83
2021-08-01,16.07
2021-09-01,15.94
2021-10-01,15.85
2021-11-01,16.01
2021-12-01,16.19
2022-01-01,15.84
2022-02-01,16.17
2022-03-01,15.92
2022-04-01,15.99
2022-05-01,15.24
2022-06-01,14.64
2022-07-01,14.38
2022-08-01,13.43
2022-09-01,12.98
2022-10-01,12.40
2022-11-01,11.69
2022-12-01,11.19
2023-01-01,10.40
2023-02-01,10.13
2023-03-01,9.45
2023-04-01,8.92
2023-05-01,8.36
2023-06-01,7.70
2023-07-01,7.06
2023-08-01,6.29
2023-09-01,5.71
2023-10-01,5.25
2023-11-01,4.41
2023-12-01,3.91
