date,value
2000-01-01,100.8989
2000-04-01,101.9116
2000-07-01,102.7666
2000-10-01,103.4811
2001-01-01,104.3012
2001-04-01,105.3049
2001-07-01,106.1962
2001-10-01,107.1716
2002-01-01,108.1161
2002-04-01,109.1548
2002-07-01,110.0322
2002-10-01,110.7688
2003-01-01,111.7974
2003-04-01,112.6597
2003-07-01,113.6072
2003-10-01,114.4408
2004-01-01,115.3386
2004-04-01,116.1282
2004-07-01,117.0908
2004-10-01,118.1238
2005-01-01,118.8919
2005-04-01,119.7612
2005-07-01,120.4226
2005-10-01,121.1505
2006-01-01,122.0160
2006-04-01,122.9408
2006-07-01,123.9277
2006-10-01,124.9439
2007-01-01,125.7978
2007-04-01,126.8382
2007-07-01,127.5195
2007-10-01,128.5646
2008-01-01,129.4210
2008-04-01,130.1529
2008-07-01,130.8551
2008-10-01,126.1964
2009-01-01,121.5230
2009-04-01,122.6293
2009-07-01,123.4517
2009-10-01,124.6217
2010-01-01,125.6265
2010-04-01,126.3776
2010-07-01,127.3283
2010-10-01,128.1540
2011-01-01,129.1236
2011-04-01,129.9712
2011-07-01,130.9324
2011-10-01,131.8490
2012-01-01,132.8521
2012-04-01,133.6733
2012-07-01,134.5383
2012-10-01,135.4274
2013-01-01,136.2548
2013-04-01,137.3312
2013-07-01,138.4040
2013-10-01,139.4572
2014-01-01,140.3271
2014-04-01,141.2546
2014-07-01,142.3451
2014-10-01,143.0951
2015-01-01,144.0876
2015-04-01,144.8816
2015-07-01,145.7024
2015-10-01,146.5213
2016-01-01,147.2580
2016-04-01,147.9797
2016-07-01,148.6891
2016-10-01,149.5327
2017-01-01,150.2682
2017-04-01,151.3447
2017-07-01,152.0478
2017-10-01,152.8665
2018-01-01,153.7906
2018-04-01,154.7512
2018-07-01,155.5356
2018-10-01,156.5364
2019-01-01,157.4727
2019-04-01,158.4495
2019-07-01,159.3219
2019-10-01,160.1306
2020-01-01,151.0865
2020-04-01,159.7221
2020-07-01,161.0682
2020-10-01,161.9896
2021-01-01,162.8718
2021-04-01,163.8320
2021-07-01,164.7686
2021-10-01,165.5120
2022-01-01,166.4887
2022-04-01,167.3500
2022-07-01,168.0665
2022-10-01,169.0538
2023-01-01,169.6855
2023-04-01,170.6755
2023-07-01,171.5794
2023-10-01,172.3253
2024-01-01,173.0000
2024-04-01,173.8402
2024-07-01,174.6259
2024-10-01,175.2917
