date,value
2024-01-01,100
2024-01-02,102.1
2024-01-03,103.9
2024-01-04,106.2
2024-01-05,108.0
2024-01-06,110.1
2024-01-07,112.5
2024-01-08,114.2
2024-01-09,116.0
2024-01-10,117.8
2024-01-11,120.3
2024-01-12,122.1
2024-01-13,124.5
2024-01-14,126.2
2024-01-15,128.0
2024-01-16,130.4
2024-01-17,132.1
2024-01-18,133.9
2024-01-19,136.2
2024-01-20,138.0
2024-01-21,140.5
2024-01-22,142.1
2024-01-23,144.3
2024-01-24,146.2
2024-01-25,148.0
2024-01-26,150.4
2024-01-27,152.1
2024-01-28,154.5
2024-01-29,156.2
2024-01-30,158.0
2024-01-31,160.3
2024-02-01,162.1
2024-02-02,164.5
2024-02-03,166.2
2024-02-04,168.0
2024-02-05,170.4
2024-02-06,172.1
2024-02-07,174.4
2024-02-08,176.2
2024-02-09,178.0
2024-02-10,180.3
2024-02-11,182.1
2024-02-12,184.5
2024-02-13,186.2
2024-02-14,188.0
2024-02-15,190.4
2024-02-16,192.1
2024-02-17,194.5
2024-02-18,196.2
2024-02-19,198.0
2024-02-20,200.3
2024-02-21,202.1
2024-02-22,204.4
2024-02-23,206.2
2024-02-24,208.0
2024-02-25,210.4
2024-02-26,212.1
2024-02-27,214.5
2024-02-28,216.2
2024-02-29,218.0
2024-03-01,220.3
2024-03-02,222.1
2024-03-03,224.4
2024-03-04,226.2
2024-03-05,228.0
2024-03-06,230.4
2024-03-07,232.1
2024-03-08,234.5
2024-03-09,236.2
2024-03-10,238.0
2024-03-11,240.3
2024-03-12,242.1
2024-03-13,244.4
2024-03-14,246.2
2024-03-15,248.0
2024-03-16,250.4
2024-03-17,252.1
2024-03-18,254.5
2024-03-19,256.2
2024-03-20,258.0
2024-03-21,260.3
2024-03-22,262.1
2024-03-23,264.5
2024-03-24,266.2
2024-03-25,268.0
2024-03-26,270.4
2024-03-27,272.1
2024-03-28,274.5
2024-03-29,276.2
2024-03-30,278.0
2024-03-31,280.3
2024-04-01,282.1
2024-04-02,284.5
2024-04-03,286.2
2024-04-04,288.0
2024-04-05,290.4
2024-04-06,292.1
2024-04-07,294.5
2024-04-08,296.2
2024-04-09,298.0
2024-04-10,300.3
2024-04-11,302.1
2024-04-12,304.5
2024-04-13,306.2
2024-04-14,308.0
2024-04-15,310.4
2024-04-16,312.1
2024-04-17,314.5
2024-04-18,316.2
2024-04-19,318.0
2024-04-20,320.3
2024-04-21,322.1
2024-04-22,324.5
2024-04-23,326.2
2024-04-24,328.0
2024-04-25,330.4
2024-04-26,332.1
2024-04-27,334.5
2024-04-28,336.2
2024-04-29,338.0
2024-04-30,340.3
2024-05-01,150.0
2024-05-02,143.1
2024-05-03,136.5
2024-05-04,129.8
2024-05-05,123.2
2024-05-06,116.5
2024-05-07,110.1
2024-05-08,103.4
2024-05-09,96.8
2024-05-10,90.2
2024-05-11,83.5
2024-05-12,77.1
2024-05-13,70.5
2024-05-14,63.8
2024-05-15,57.1
2024-05-16,50.5
