date,value
2024-01-01,1250
2024-01-08,1280
2024-01-15,1310
2024-01-22,1290
2024-01-29,1340
2024-02-05,1370
2024-02-12,1350
2024-02-19,1390
2024-02-26,1420
2024-03-04,1410
2024-03-11,1450
2024-03-18,1480
2024-03-25,1470
2024-04-01,1510
2024-04-08,1540
2024-04-15,1520
2024-04-22,1560
2024-04-29,1590
2024-05-06,1580
2024-05-13,1620
2024-05-20,1650
2024-05-27,1640
2024-06-03,1680
2024-06-10,1710
2024-06-17,1700
2024-06-24,1740
2024-07-01,1770
2024-07-08,1760
2024-07-15,1800
2024-07-22,1830
2024-07-29,1820
2024-08-05,1860
2024-08-12,1890
2024-08-19,1880
2024-08-26,1920
2024-09-02,1950
2024-09-09,1940
2024-09-16,1980
2024-09-23,2010
2024-09-30,2000
2024-10-07,2040
2024-10-14,2070
2024-10-21,2060
2024-10-28,2100
2024-11-04,2130
2024-11-11,2120
2024-11-18,2160
2024-11-25,2190
2024-12-02,2180
2024-12-09,2220
2024-12-16,2250
2024-12-23,2240
2024-12-30,2280
2025-01-06,2310
2025-01-13,2300
2025-01-20,2340
2025-01-27,2370
2025-02-03,2360
2025-02-10,2400
2025-02-17,2430
